brand,stars,reviewsCount,Category,price/value
MI,4.2,67782.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",11490.0
FRATELLI,3.1,45.0,Toys & Games › Electronic Toys › Plug & Play Video Games,1499.0
Sonos,4.7,4790.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,32998.25
JBL,4.2,58.0,Electronics › Home Audio › Speakers › Ceiling & In Wall Speakers,11249.0
realme,4.0,7310.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,7499.0
Marshall,4.6,9912.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,14950.0
Geek Theory,4.3,1284.0,Toys & Games › Electronic Toys › Handheld Games,16102.51
Sennheiser,4.1,930.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",16988.0
BoAt,4.0,30716.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",349.0
Dell,3.6,475.0,Computers & Accessories › Laptops › Traditional Laptops,51990.0
Sony,4.2,7163.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",3990.0
Corsair,3.9,219.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,8199.0
JBL,4.1,202172.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",569.0
Samsung,3.9,325.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,59999.0
Logitech G,4.6,228.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gaming Mice,15495.0
VU,4.2,4853.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",24290.0
boAt,3.9,4177.0,Electronics › Wearable Technology › Smart Watches,1499.0
Sennheiser,3.9,6384.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",5490.0
Dyanora,3.6,134.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",8299.0
boAt,4.2,16614.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,3499.0
JBL,4.4,52203.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,2799.0
Amazon basics,3.9,1077.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,799.0
BoAt,4.2,43732.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1799.0
JBL,4.4,32018.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,9998.0
Sennheiser,3.9,6384.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",5490.0
Philips Audio,3.8,3179.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",229.0
TechKing,2.6,2.0,Toys & Games › Electronic Toys › Plug & Play Video Games,1999.0
Sameo,3.0,3.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,2599.0
TCL,4.0,863.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",59990.0
Redmi,3.1,611.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,21999.0
Sony,4.2,784.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,24990.0
GSH,3.6,398.0,Toys & Games › Electronic Toys › Plug & Play Video Games,1399.0
MI,4.0,4497.0,Electronics › Home Audio › Speakers › Outdoor Speakers,1997.0
SHOKZ,4.2,275.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Open-Ear Headphones",13499.0
ASUS,4.4,3.0,Computers & Accessories › Laptops › Traditional Laptops,130900.0
Dell,3.0,2.0,Computers & Accessories › Laptops › Traditional Laptops,17990.0
Tribit,4.4,2580.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,8199.0
DOOGEE,3.9,25.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,46300.0
Sonos,4.7,843.0,Electronics › Home Audio › Speakers › Bookshelf Speakers,49998.2
PTron,5.0,2.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,598.0
Sony,4.3,1764.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,5990.0
Marshall,4.5,76.0,Electronics › Home Audio › Speakers › Outdoor Speakers,34998.0
Marycan,5.0,2.0,Computers & Accessories › Components › Fans & Cooling › Water Cooling Systems,66380.0
ALT,4.4,513.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",29999.0
Sennheiser,4.3,3946.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",27990.0
HP,3.6,5.0,Computers & Accessories › Laptops › Traditional Laptops,43490.0
AVITA,1.8,6.0,Computers & Accessories › Laptops › Traditional Laptops,21490.0
